Title,Channel,Published,Views,Duration (sec),Video URL
I&#39;m Sorry...This New Artist Completely Sucks,Rick Beato,2025-07-15T17:43:45Z,1694849,670,https://www.youtube.com/watch?v=eKxNGFjyRv0
Saiyaara Kishore Kumar FULL SONG|  |@rjkisnashorts | Anshuman Sharma | Old version saiyaara,Anshuman Sharma,2025-07-30T10:30:07Z,1017561,238,https://www.youtube.com/watch?v=09m-lsJya2Q
Saiyaara (1980) Ft. Kishore Kumar full song (Old version) Old is Gold song actor amitabh #ai #aisong,Sonia Arora💋,2025-07-31T20:26:45Z,676102,240,https://www.youtube.com/watch?v=c5J-gKAXB08
Saiyaara Kishore Kumar Full Song | Saiyaara Kishore Kumar Old Version I  #saiyaara #kishorekumar ,Shakti Khatri Official,2025-07-30T17:25:22Z,600850,327,https://www.youtube.com/watch?v=mgwneoUWuLY
Saiyaara - Atif Aslam Ai Version - Saiyaara Title Song,AADEEZ AI SONGS,2025-07-20T08:15:06Z,495958,264,https://www.youtube.com/watch?v=33afhHzZyWA
Star Wars – Return of the Napalm (Parody Music Video),Saga Lore AI,2025-07-17T11:42:02Z,337938,242,https://www.youtube.com/watch?v=rQTKYpPh0WU
Ka Bih Aiu Ia Nga Phi Ai - Khraw Umdor (Official Love Song) Khasi song,Khraw Umdor Music,2025-07-18T11:30:06Z,324097,316,https://www.youtube.com/watch?v=ztohTHzcS1w
"Faded Lights - AI Music Clara (Chillhop, Lofi Jazz) : Official Music Video",AI Music Clara,2025-07-30T13:00:29Z,151723,114,https://www.youtube.com/watch?v=AefZub9Wlsc
AI Wrote This Song… Then We Covered It. You Be the Judge 🤯,Sons of Legion,2025-07-11T22:49:28Z,144217,442,https://www.youtube.com/watch?v=b5R8EB8iSDA
SAIYAARA | Mohammad Rafi - Kishor Kumar || Haye Main Mar Hi jau || Old Golden Era Viral Song,Tulsi Music Official,2025-07-31T07:36:38Z,105207,265,https://www.youtube.com/watch?v=HmAso4as3_4
Why Does She Text Every Time We Fight? (AI Music Video),GLOAT Records - Worlds' First AI Music Label,2025-07-20T22:42:09Z,89435,156,https://www.youtube.com/watch?v=rVuhMDxQezI
📚 School Ke Din – A Nostalgic Journey✨ | 🎵 Emotional AI Music Video  | S A Alok Music | Vikas Navale,S A Alok Music,2025-07-11T07:06:27Z,83782,140,https://www.youtube.com/watch?v=zqIGuHYuVxk
Selena Gomez &amp; Sam Smith - The Angels Are Crying (DJ Rivera Remix) AI Music,DJ Rivera,2025-07-28T22:15:00Z,67995,228,https://www.youtube.com/watch?v=1O0KH4u1j2k
CÒN AI Ở LẠI     I  Blues Music Vietnam,AsiaSing Beats,2025-07-22T21:15:51Z,64579,401,https://www.youtube.com/watch?v=qRCY6TtejYI
កាចក៏អូនស្រឡាញ់ | Kach Kor Oun Srolanh I AI Song បទថ្មី #AISongMedia #viral #khmermusic,AI Song Media,2025-07-07T10:43:07Z,57376,145,https://www.youtube.com/watch?v=t9jDwezI_X8
How to make AI MUSIC videos for SUNO AI Songs in just 1 Click,AI Automation Labs,2025-07-15T14:55:11Z,56089,498,https://www.youtube.com/watch?v=scjpG2UAygE
Novi - The Void Of Forgetting (AI Music Video),Novi Vibes,2025-07-24T13:01:16Z,51769,249,https://www.youtube.com/watch?v=cchfOnqQBlQ
"City Float - AI Music Clara (Neo-soul, Chillhop) : Official Music Video",AI Music Clara,2025-07-31T13:01:44Z,51281,108,https://www.youtube.com/watch?v=yF0nVP5RpEw
ADIYE - Thalapathy Vijay &amp; Sangeetha | AI Generated Romantic Video Song | MOZ | Akilan,MOZ,2025-07-09T11:30:05Z,50183,108,https://www.youtube.com/watch?v=7mIbVZBWQM0
Novi - Voices In The Wind (AI Music Video) Made with VEO 3 by Google,Novi Vibes,2025-07-28T01:00:30Z,48552,231,https://www.youtube.com/watch?v=ZiBruaQvQJw
